'Company','% of DJIA"','NYSE Price"'
1,5.9078,84.95
2,2.1642,31.12
3,3.3673,48.42
4,3.5482,51.02
5,5.0628,72.8
6,3.213,46.2
7,5.2277,75.17
8,3.2352,46.52
9,3.569,51.32
10,3.0057,43.22
11,3.0161,43.37
12,2.174,31.26
13,3.1601,45.44
14,1.4702,21.14
15,2.4925,35.84
16,2.3499,33.79
17,1.9785,28.45
18,6.1609,88.59
19,2.5697,36.95
20,3.8799,55.79
21,1.8269,26.27
22,3.2985,47.43
23,1.8214,26.19
24,2.4619,35.4
25,7.5511,108.58
26,1.6586,23.85
27,5.848,84.09
28,2.4396,35.08
29,3.8924,55.97
30,1.6489,23.71
