'A','B','C','D','E','F','G','Plant','Reliability'
28,2,142,64,139,18,0,'A',28
50,11,110,29,21,108,6,'A',50
193,75,3,1,214,9,0,'A',193
55,6,273,3,67,8,16,'A',55
4,1,54,8,174,17,1,'A',4
7,12,32,29,1,88,58,'A',7
174,4,3,4,9,28,13,'A',174
76,6,40,60,2,,36,'A',76
10,64,23,,119,,33,'A',10
0,3,30,,237,,19,'A',0
10,0,17,,110,,,'A',10
84,3,7,,71,,,'A',84
0,1,12,,,,,'A',0
9,20,6,,,,,'A',9
1,78,12,,,,,'A',1
0,,7,,,,,'A',0
62,,5,,,,,'A',62
26,,,,,,,'A',26
15,,,,,,,'A',15
226,,,,,,,'A',226
54,,,,,,,'A',54
46,,,,,,,'A',46
128,,,,,,,'A',128
4,,,,,,,'A',4
105,,,,,,,'A',105
40,,,,,,,'A',40
4,,,,,,,'A',4
273,,,,,,,'A',273
164,,,,,,,'A',164
7,,,,,,,'A',7
55,,,,,,,'A',55
41,,,,,,,'A',41
26,,,,,,,'A',26
6,,,,,,,'A',6
,,,,,,,'B',2
,,,,,,,'B',11
,,,,,,,'B',75
,,,,,,,'B',6
,,,,,,,'B',1
,,,,,,,'B',12
,,,,,,,'B',4
,,,,,,,'B',6
,,,,,,,'B',64
,,,,,,,'B',3
,,,,,,,'B',0
,,,,,,,'B',3
,,,,,,,'B',1
,,,,,,,'B',20
,,,,,,,'B',78
,,,,,,,'C',142
,,,,,,,'C',110
,,,,,,,'C',3
,,,,,,,'C',273
,,,,,,,'C',54
,,,,,,,'C',32
,,,,,,,'C',3
,,,,,,,'C',40
,,,,,,,'C',23
,,,,,,,'C',30
,,,,,,,'C',17
,,,,,,,'C',7
,,,,,,,'C',12
,,,,,,,'C',6
,,,,,,,'C',12
,,,,,,,'C',7
,,,,,,,'C',5
,,,,,,,'D',64
,,,,,,,'D',29
,,,,,,,'D',1
,,,,,,,'D',3
,,,,,,,'D',8
,,,,,,,'D',29
,,,,,,,'D',4
,,,,,,,'D',60
,,,,,,,'E',139
,,,,,,,'E',21
,,,,,,,'E',214
,,,,,,,'E',67
,,,,,,,'E',174
,,,,,,,'E',1
,,,,,,,'E',9
,,,,,,,'E',2
,,,,,,,'E',119
,,,,,,,'E',237
,,,,,,,'E',110
,,,,,,,'E',71
,,,,,,,'F',18
,,,,,,,'F',108
,,,,,,,'F',9
,,,,,,,'F',8
,,,,,,,'F',17
,,,,,,,'F',88
,,,,,,,'F',28
,,,,,,,'G',0
,,,,,,,'G',6
,,,,,,,'G',0
,,,,,,,'G',16
,,,,,,,'G',1
,,,,,,,'G',58
,,,,,,,'G',13
,,,,,,,'G',36
,,,,,,,'G',33
,,,,,,,'G',19
