'Plant','A-leafSize','B-leafSize','C-leafSize','D-leafSize','A-Nicotine','B-Nicotine','C-Nicotine','D-Nicotine'
1,27.7619,4.246,15.507,33.0101,10.0655,5.5977,6.7865,9.9553
2,27.8523,14.1577,5.0473,44.968,9.4712,8.1299,10.9249,5.8495
3,21.3495,7.0279,18.302,34.2074,9.1246,11.3401,11.3878,10.3005
4,31.9616,7.0698,16.0436,28.9766,11.3652,9.347,9.7022,9.714
5,19.4623,0.8091,10.2601,42.9229,11.3976,9.3049,8.0371,10.7543
6,12.2804,13.9385,19.0571,36.6827,11.2936,10.0193,10.7189,8.0262
7,21.0508,11.013,17.1826,32.7229,10.6805,9.5843,11.2352,13.1326
8,19.5074,10.968,16.651,32.5668,8.128,6.4603,7.7079,11.8559
9,26.2808,6.9112,18.8472,28.7695,10.5066,8.2589,7.5653,11.3345
10,26.1466,9.6041,12.4234,36.6952,10.6579,5.0106,9.0922,10.4763
