'Obs','Dose','Log(Dose)','CumVol','TransCumVol'
1,6,1.791759469,'7.1','0.269716557'
2,6,1.791759469,'11.5','0.345977588'
3,6,1.791759469,'8.4','0.294046633'
4,6,1.791759469,'8','0.286756552'
5,6,1.791759469,'9.4','0.311612833'
6,6,1.791759469,'12','0.353741606'
7,9,2.197224577,'13.2','0.371826842'
8,9,2.197224577,'14.7','0.393481083'
9,9,2.197224577,'12.7','0.364380561'
10,9,2.197224577,'18.4','0.443332536'
11,9,2.197224577,'14.4','0.38922697'
12,9,2.197224577,'12.1','0.355277493'
13,13.5,2.602689685,'15.8','0.408782173'
14,13.5,2.602689685,'13.8','0.380606367'
15,13.5,2.602689685,'20.4','0.46862908'
16,13.5,2.602689685,'22.7','0.496607026'
17,13.5,2.602689685,'17','0.424988783'
18,13.5,2.602689685,'19.8','0.461142893'
19,20.25,3.008154794,'15.6','0.406033403'
20,20.25,3.008154794,'25.3','0.527056004'
21,20.25,3.008154794,'13.5','0.376237188'
22,20.25,3.008154794,'24.8','0.521286279'
23,20.25,3.008154794,'20.9','0.47480517'
24,20.25,3.008154794,'*','*'
25,10,2.302585093,'*','*'
26,14,2.63905733,'*','*'
27,19,2.944438979,'*','*'
