'SALARY','NUMEXPL','MARGIN','IPCOST'
29.5,58,19.4,10.14
29.3,37,17.7,9.18
29.8,135,20.4,6.84
29.2,69,20.5,7.59
28.9,48,19.1,4.96
31.7,159,23.3,10.52
27.5,42,23.4,8.61
29.4,37,23.1,10.72
30.4,71,18.5,5.65
27.7,69,16.4,5.46
30.9,121,24.6,7.37
28.9,389,11,7.4
29.7,99,20.9,9.05
30.3,62,23,8.81
31.3,107,15.3,10.94
30,42,18.8,6.84
30,35,21,6.45
28.5,42,10.5,6.06
29.9,31,19.3,10.2
29.7,78,18,9.6
30.2,132,23.5,7.88
29.7,37,22.4,6.71
29.9,89,22.8,10.04
29,101,21.7,8.39
29.4,60,18,5.24
30.3,48,21.9,9.6
30.4,75,22.6,11.63
31.1,71,24.5,9.65
29.4,47,24.2,7.94
30.7,39,22.7,9.67
30.2,50,23.1,9.66
30.7,40,16.1,10.31
28.5,102,16.2,6.67
29,38,21.9,6.45
29.2,80,20.9,10.07
28.1,77,14,7.06
27.7,28,19.8,9.7
27.3,30,6.7,3.16
31.3,34,21.4,10.91
27.4,28,16,8.19
29.3,230,14.9,5.7
28.7,121,19.3,6.42
29.7,146,20.9,5.74
29.3,124,17.6,6.13
28.3,40,16.3,8.86
25.7,130,15.6,4.11
27.2,60,15.9,6.13
29.2,94,22.6,9.95
30.2,43,19.6,7.83
30.7,111,18.2,6.7
29.4,37,23,11.25
28.4,76,15.5,4.77
30.1,188,18.9,5.94
28.5,64,12.6,4.81
28.8,185,17.7,8.66
32.4,371,22.3,7.45
28.4,81,23.1,5.14
29.7,62,20.9,9.26
27,30,9.8,1.44
28.2,103,22.1,7.98
27.6,29,9.7,6.09
30.7,28,17.1,8.71
28.7,34,16.8,5.11
29.4,279,23.2,6.2
29.9,35,23.4,8.42
31.3,43,18.3,7.52
28.5,77,19,7.85
