'STUDENT','CRIME','AGE','COLLEGE','INCOME','GENDER'
1,23,16,2,63,1
2,25,18,2,72,1
3,22,18,2,75,1
4,16,18,2,61,0
5,19,19,2,65,1
6,19,19,2,70,1
7,18,20,2,78,1
8,16,19,2,76,0
9,12,18,2,53,0
10,13,19,2,56,0
11,16,19,2,59,1
12,13,20,2,55,0
13,13,21,2,60,0
14,14,20,2,52,0
15,14,24,3,54,0
16,13,25,3,55,0
17,16,25,3,55,0
18,16,27,4,56,1
19,14,28,4,52,1
20,20,38,4,59,0
21,25,29,4,63,1
22,19,30,4,55,1
23,23,31,4,59,0
24,25,32,4,52,1
25,22,32,4,55,0
26,25,31,4,57,1
27,17,30,4,46,0
28,14,29,4,35,0
29,12,29,4,32,0
30,10,28,4,30,0
31,8,27,4,29,0
32,7,26,4,28,0
33,5,25,4,25,0
34,9,24,3,33,0
35,7,23,3,26,0
36,9,23,3,28,1
37,10,22,3,38,0
38,4,22,3,24,0
39,6,22,3,28,0
40,8,21,3,29,1
41,11,21,2,35,1
42,10,20,2,33,0
43,6,19,2,27,0
44,7,21,3,24,0
45,15,21,2,53,1
