'PRICE','BATHS','BEDA','BEDB','BEDC','CARA','CARB','AGE','LOT','DOM'
25750,1,1,0,0,1,0,23,9680,164
37950,1,0,1,0,0,1,7,1889,67
46450,2.5,0,1,0,0,0,9,1941,315
46550,2.5,0,0,1,1,0,18,1813,61
47950,1.5,1,0,0,0,1,2,1583,234
49950,1.5,0,1,0,0,0,10,1533,116
52450,2.5,0,0,1,0,0,4,1667,162
54050,2,0,1,0,0,1,5,3450,80
54850,2,0,1,0,0,0,5,1733,63
52050,2.5,0,1,0,0,0,5,3727,102
54392,2.5,0,1,0,0,0,7,1725,48
53450,2.5,0,1,0,0,0,3,2811,423
59510,2.5,0,1,0,0,1,11,5653,130
60102,2.5,0,1,0,0,0,7,2333,159
63850,2.5,0,0,1,0,0,6,2022,314
62050,2.5,0,0,0,0,0,5,2166,135
69450,2,0,1,0,0,0,15,1836,71
82304,2.5,0,0,1,0,0,8,5066,338
81850,2,0,1,0,0,0,0,2333,147
70050,2,0,1,0,0,0,4,2904,115
112450,2.5,0,0,1,0,0,1,2930,11
127050,3,0,0,1,0,0,9,2904,36
