'Ratings','Sweetner','MilkFat','Air'
23,'12%','10%','5%'
24,'12%','10%','5%'
25,'12%','10%','5%'
36,'12%','10%','10%'
35,'12%','10%','10%'
36,'12%','10%','10%'
28,'12%','10%','15%'
24,'12%','10%','15%'
27,'12%','10%','15%'
27,'12%','12%','5%'
28,'12%','12%','5%'
26,'12%','12%','5%'
34,'12%','12%','10%'
38,'12%','12%','10%'
39,'12%','12%','10%'
35,'12%','12%','15%'
35,'12%','12%','15%'
34,'12%','12%','15%'
31,'12%','15%','5%'
32,'12%','15%','5%'
29,'12%','15%','5%'
33,'12%','15%','10%'
34,'12%','15%','10%'
35,'12%','15%','10%'
26,'12%','15%','15%'
27,'12%','15%','15%'
25,'12%','15%','15%'
24,'16%','10%','5%'
23,'16%','10%','5%'
28,'16%','10%','5%'
37,'16%','10%','10%'
39,'16%','10%','10%'
35,'16%','10%','10%'
26,'16%','10%','15%'
29,'16%','10%','15%'
25,'16%','10%','15%'
38,'16%','12%','5%'
36,'16%','12%','5%'
35,'16%','12%','5%'
34,'16%','12%','10%'
38,'16%','12%','10%'
36,'16%','12%','10%'
36,'16%','12%','15%'
37,'16%','12%','15%'
34,'16%','12%','15%'
34,'16%','15%','5%'
36,'16%','15%','5%'
39,'16%','15%','5%'
34,'16%','15%','10%'
36,'16%','15%','10%'
31,'16%','15%','10%'
28,'16%','15%','15%'
26,'16%','15%','15%'
24,'16%','15%','15%'
