'Taster','Fat','Method','TasteScore'
1,'10% Fat','Broil',75
1,'10% Fat','Bake',79
1,'10% Fat','Fry',82
1,'15% Fat','Broil',78
1,'15% Fat','Bake',82
1,'15% Fat','Fry',81
1,'20% Fat','Broil',81
1,'20% Fat','Bake',85
1,'20% Fat','Fry',87
2,'10% Fat','Broil',61
2,'10% Fat','Bake',65
2,'10% Fat','Fry',74
2,'15% Fat','Broil',65
2,'15% Fat','Bake',73
2,'15% Fat','Fry',80
2,'20% Fat','Broil',75
2,'20% Fat','Bake',81
2,'20% Fat','Fry',86
3,'10% Fat','Broil',75
3,'10% Fat','Bake',78
3,'10% Fat','Fry',79
3,'15% Fat','Broil',80
3,'15% Fat','Bake',82
3,'15% Fat','Fry',83
3,'20% Fat','Broil',87
3,'20% Fat','Bake',88
3,'20% Fat','Fry',92
4,'10% Fat','Broil',73
4,'10% Fat','Bake',76
4,'10% Fat','Fry',78
4,'15% Fat','Broil',75
4,'15% Fat','Bake',81
4,'15% Fat','Fry',90
4,'20% Fat','Broil',86
4,'20% Fat','Bake',92
4,'20% Fat','Fry',93
