Illinois	New_York
5.31	2.42
5.58	2.72
4.06	4.04
4.93	4.08
3.03	4.12
8.03	4.79
7.85	4.84
9.98	5.02
6.69	5.37
6.14	5.63
8.25	5.67
4.76	5.83
4.28	5.84
12.36	6.29
8.83	6.4
5.14	6.59
3.92	6.6
9.61	6.6
4.12	6.91
8.41	6.91
2.38	7.08
4.51	7.08
3.41	7.1
5.01	7.13
7.83	7.35
6.24	7.52
3.46	7.58
1.4	7.64
1.23	7.67
3.86	8.23
5.36	8.39
6.14	8.4
3.28	8.41
8.09	8.53
2.92	8.75
5.12	8.93
1.53	9.1
9.83	9.1
2.22	9.13
2.49	9.14
11.1	9.17
1.72	9.32
8.06	9.44
1.89	9.53
5.38	9.59
0.63	9.69
5.1	9.7
4.94	9.85
5.61	9.94
0	10
0	10.12
5.84	10.13
7.7	10.21
7.75	10.22
9.37	10.31
0.23	10.46
4.49	10.51
2.57	10.58
7.94	10.8
0	10.81
0	10.85
8.47	10.97
6.12	11.07
4.83	11.11
9.36	11.24
0.78	11.31
0.43	11.59
8.76	11.6
0.44	11.72
6.1	11.99
3.36	12.17
8.93	12.27
9.52	12.77
5.12	12.87
1.22	13.02
14.08	13.16
6.02	13.73
5.71	13.74
6.84	13.75
7.68	13.82
0	13.83
3.6	14.09
4.81	14.09
10.24	14.29
5.03	14.52
0.81	15.33
4.05	15.43
5.26	16.46
0	16.55
5.59	17.69
