Illinois	New_York	Pennsylvania
5.81	11.65	0
5.63	13.32	0
2.16	11.2	0
3.92	14.13	0
6.67	15.8	0
4.96	10.54	0
11.55	11.67	0
8.7	10.1	0
2.77	12.88	0
10.13	9.15	0
8.46	10.06	0
3.11	11.01	0
6.01	8.55	0.02
11.19	9.1	0.16
4.28	13.38	0.84
10.76	8.68	1.18
1.33	10.26	1.92
7.41	10.64	2.45
7.89	9.42	2.78
14.46	7.04	3.74
8.48	9.03	3.91
12.56	9.94	3.93
2.03	13.45	4.16
6.01	8.01	4.6
0	9.88	5.04
8.54	14.13	5.16
8.15	3.8	5.43
9.39	10.85	5.48
12.84	8.51	5.66
7.91	5.77	5.85
7.72	8.53	6.26
7.39	3.38	6.67
2.6	12.05	6.87
5.77	5	7.21
6.67	12.59	7.22
9.37	10.47	7.37
11.32	7.93	7.4
11.4	13.23	7.41
5.67	12.66	7.5
11.73	7.26	7.68
9.45	12.58	7.97
8.83	15.73	7.97
6.07	7.97	8.33
7.01	7.72	8.55
9.52	14.56	8.63
10.89	5.54	8.98
4.62	7.71	9.22
11.55	8.76	9.54
8.75	12.16	9.57
3.32	6.39	10.13
3.07	12.54	10.53
6.72	7.73	10.69
4.43	14.79	11
7.55	8.44	11.21
7.24	12.99	11.81
9.01	14.83	11.84
7.58	8.56	12.2
7.64	6.34	12.3
7.69	13.03	12.59
8.69	5.39	12.67
12.26	9.22	12.87
8.56	16.02	12.88
13.05	7.32	13.41
2.36	10.28	13.61
10.36	8.6	14.5
5.6	9.58	14.66
9.6	3.04	14.75
6.91	8.68	14.79
5.37	8.36	15.06
5.72	9.45	15.4
13.53	6.97	15.48
8.68	14.8	15.74
10.77	10.24	15.99
10.44	8.3	16.29
4.55	6.11	16.39
8.02	9.28	16.54
8.56	7.71	16.86
8.7	10.07	17.47
6.96	1.52	17.61
4.54	8.36	17.67
5.57	12.64	18.16
5.53	7.42	18.35
9.82	7.58	18.42
8.92	9.75	20.05
0.02	3.33	20.09
10.6	8.25	21.83
5.31	8.21	22.35
8.1	10.13	22.53
9.88	8.92	22.74
10.86	8.78	22.9
